stratum,level,turn,survival,ci_lo,ci_hi,n_at_risk,n_events
condition,uninformed,110.0,0.6805555555555554,0.6138714156252291,0.7382185828316237,148,1
condition,uninformed,112.0,0.6759259259259257,0.6090797169690662,0.7338806823056092,147,1
condition,uninformed,115.0,0.6666666666666664,0.5995167706902214,0.7251846683581131,146,2
condition,uninformed,120.0,0.6620370370370368,0.59474538541795,0.7208266975804121,144,1
condition,uninformed,123.0,0.6574074074074071,0.5899806386743633,0.716462174226723,143,1
condition,uninformed,126.0,0.6527777777777775,0.5852224690344189,0.7120911620988286,142,1
condition,uninformed,131.0,0.6481481481481478,0.5804708178323804,0.707713722200142,141,1
condition,uninformed,141.0,0.6435185185185182,0.5757256290611252,0.7033299128409229,140,1
condition,uninformed,150.0,0.6388888888888885,0.5709868492777195,0.6989397897369414,139,1
condition,uninformed,156.0,0.6326252723311543,0.5642490307263387,0.6932551908187486,102,1
condition,uninformed,159.0,0.6194455791575886,0.547306180568246,0.6834864924447638,48,1
condition,uninformed,166.0,0.5899481706262748,0.49871201776783386,0.670128883592366,21,1
condition,uninformed,173.0,0.505669860536807,0.32767886035954036,0.6592024708194948,7,1
model_pretty,GPT-5.5,0.0,1.0,1.0,1.0,216,0
model_pretty,GPT-5.5,29.0,0.9953703703703703,0.9675942491283139,0.9993465546607061,216,1
model_pretty,GPT-5.5,44.0,0.9814814814814815,0.9514157084856519,0.9930091591939955,215,3
model_pretty,GPT-5.5,48.0,0.9768518518518519,0.9452847733416323,0.9902993832631136,212,1
model_pretty,GPT-5.5,49.0,0.9629629629629629,0.9273084561608763,0.9813039083908828,211,3
model_pretty,GPT-5.5,50.0,0.9583333333333333,0.9214562934151317,0.9781000593591821,208,1
model_pretty,GPT-5.5,52.0,0.949074074074074,0.9099298789066878,0.9714705573959974,207,2
model_pretty,GPT-5.5,54.0,0.935185185185185,0.8930107850770125,0.9610937085301618,205,3
model_pretty,GPT-5.5,55.0,0.9305555555555554,0.8874539618714615,0.9575420640181388,202,1
model_pretty,GPT-5.5,57.0,0.9259259259259257,0.8819333278231642,0.9539508888561179,201,1
model_pretty,GPT-5.5,58.0,0.9166666666666664,0.8709905938366791,0.9466622713233029,200,2
model_pretty,GPT-5.5,59.0,0.9120370370370368,0.8655641857083094,0.9429699796615016,198,1
model_pretty,GPT-5.5,62.0,0.9027777777777775,0.8547922303587949,0.9354999891228576,197,2
model_pretty,GPT-5.5,63.0,0.8935185185185183,0.8441181154281064,0.9279274872396085,195,2
model_pretty,GPT-5.5,64.0,0.8888888888888886,0.8388145440252474,0.9241063895021083,193,1
model_pretty,GPT-5.5,66.0,0.8796296296296294,0.8282689721299639,0.9164004727257984,192,2
model_pretty,GPT-5.5,67.0,0.8749999999999998,0.8230250911232192,0.9125177119131731,190,1
model_pretty,GPT-5.5,68.0,0.8611111111111109,0.8073993595413892,0.9007607463464816,189,3
model_pretty,GPT-5.5,69.0,0.8564814814814813,0.8022237529144588,0.8968080396180225,186,1
model_pretty,GPT-5.5,71.0,0.8518518518518517,0.7970635952334671,0.8928395818764305,185,1
model_pretty,GPT-5.5,74.0,0.8425925925925924,0.7867874476241526,0.8848577296350032,184,2
model_pretty,GPT-5.5,76.0,0.8333333333333333,0.7765669255665543,0.8768194177182776,182,2
model_pretty,GPT-5.5,77.0,0.8240740740740741,0.7663985529374034,0.8687283103921897,180,2
model_pretty,GPT-5.5,78.0,0.8194444444444444,0.7613329555266423,0.8646639741317488,178,1
model_pretty,GPT-5.5,79.0,0.8148148148148149,0.7562792821543114,0.8605876068572033,177,1
model_pretty,GPT-5.5,86.0,0.8101851851851852,0.751237207587197,0.8564995484822545,176,1
model_pretty,GPT-5.5,88.0,0.8055555555555556,0.746206425568374,0.8524001186201025,175,1
model_pretty,GPT-5.5,90.0,0.8009259259259259,0.741186647362419,0.8482896181940603,174,1
model_pretty,GPT-5.5,91.0,0.7962962962962963,0.736177600442585,0.8441683308849339,173,1
model_pretty,GPT-5.5,93.0,0.7916666666666666,0.7311790273034692,0.8400365244349516,172,1
model_pretty,GPT-5.5,95.0,0.7870370370370371,0.7261906843849085,0.8358944518252521,171,1
model_pretty,GPT-5.5,96.0,0.7824074074074074,0.7212123410947082,0.8317423523415967,170,1
model_pretty,GPT-5.5,97.0,0.7777777777777778,0.7162437789194039,0.8275804525410001,169,1
model_pretty,GPT-5.5,98.0,0.7685185185185186,0.7063351794597644,0.8192280997662562,168,2
model_pretty,GPT-5.5,100.0,0.763888888888889,0.7013947585907842,0.8150380437855671,166,1
model_pretty,GPT-5.5,101.0,0.7546296296296298,0.6915407858196903,0.8066310916680071,165,2
model_pretty,GPT-5.5,102.0,0.7500000000000001,0.6866269041014358,0.8024145363337384,163,1
model_pretty,GPT-5.5,103.0,0.7453703703703705,0.6817215520304978,0.7981894750630532,162,1
model_pretty,GPT-5.5,110.0,0.7407407407407408,0.6768245836336018,0.7939560585563649,161,1
model_pretty,GPT-5.5,115.0,0.7361111111111112,0.6719358597386534,0.789714430457002,160,1
model_pretty,GPT-5.5,120.0,0.7314814814814815,0.6670552475959274,0.7854647277536557,159,1
